,area_type,availability,location,size,society,total_sqft,bath,balcony,price
2139,Super built-up  Area,Ready To Move,Prithvi Layout,2 BHK,Prlmsge,1352,2.0,2.0,87.5
2140,Super built-up  Area,Ready To Move,Harlur,3 BHK,SosicCl,1754,3.0,2.0,125.0
2141,Built-up  Area,Ready To Move,Tejaswini Nagar,3 BHK,Paion P,1560,3.0,2.0,85.0
2142,Super built-up  Area,18-Jul,Bannerghatta,4 BHK,Mamespa,3012,6.0,2.0,268.0
2144,Super built-up  Area,Ready To Move,Channasandra,3 BHK,Pritehi,1470,2.0,1.0,90.0
2145,Built-up  Area,Ready To Move,9th Phase JP Nagar,2 BHK,NaensGa,1035,2.0,1.0,45.0
2148,Super built-up  Area,Ready To Move,Jakkur,2 BHK,Elidet ,1100,2.0,2.0,52.0
2150,Super built-up  Area,19-Dec,Bannerghatta Road,1 BHK,Hiatei ,595,1.0,1.0,31.83
2151,Super built-up  Area,Ready To Move,HSR Layout,3 BHK,Brstark,1650,3.0,2.0,110.0
2155,Super built-up  Area,18-Jun,Ramagondanahalli,2 BHK,ViistLa,1235,2.0,1.0,46.8
2157,Built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,Eladero,1400,3.0,1.0,115.0
2160,Super built-up  Area,Ready To Move,Sundar Ram Shetty Nagar,3 BHK,NeendLe,1375,2.0,3.0,85.0
2163,Super built-up  Area,Ready To Move,Yelahanka,2 BHK,Ulure S,1065,2.0,1.0,40.84
2166,Super built-up  Area,Ready To Move,Whitefield,1 BHK,UKe 2nz,825,1.0,1.0,45.0
2169,Super built-up  Area,18-Jul,Udayapur Village,3 BHK,Plowsri,1440,2.0,2.0,60.33
2170,Super built-up  Area,Ready To Move,Electronic City,2 BHK,GMown E,870,2.0,1.0,39.5
2171,Super built-up  Area,Ready To Move,Panathur,2 BHK,Prcesvy,1195,2.0,1.0,84.0
2173,Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,Lancy R,1530,3.0,3.0,61.2
2175,Super built-up  Area,Ready To Move,Alfa Garden Layout,2 BHK,Saeina ,975,2.0,1.0,43.0
2178,Super built-up  Area,18-Dec,Iblur Village,3 BHK,DNionfl,1920,3.0,2.0,130.0
2180,Super built-up  Area,21-Dec,Thanisandra,2 BHK,Bhe 2ko,1183,2.0,1.0,58.56
2182,Super built-up  Area,Ready To Move,Mico Layout,3 BHK,Inasy E,1550,2.0,2.0,65.0
2183,Super built-up  Area,Ready To Move,Kaggadasapura,2 BHK,Frides ,1110,2.0,3.0,53.0
2185,Super built-up  Area,Ready To Move,Kaggadasapura,2 BHK,SLireap,1105,2.0,1.0,38.67
2191,Super built-up  Area,19-Oct,Hebbal,4 BHK,SNontle,3067,4.0,2.0,230.0
2192,Super built-up  Area,18-May,Sarjapur  Road,3 BHK,PualeSk,1929,4.0,1.0,103.0
2193,Built-up  Area,Ready To Move,Ramamurthy Nagar,3 BHK,SVyam N,1525,3.0,1.0,100.0
2194,Super built-up  Area,Ready To Move,Nehru Nagar,3 BHK,Ceste C,1775,3.0,3.0,110.0
2195,Built-up  Area,Ready To Move,Banashankari,2 BHK,Koestpt,1125,2.0,1.0,63.0
2199,Super built-up  Area,Ready To Move,Sonnenahalli,2 BHK,Skacak ,1268,2.0,1.0,73.0
2200,Built-up  Area,Ready To Move,Hoodi Layout,3 BHK,SVstos ,1500,3.0,2.0,88.0
2201,Super built-up  Area,18-Jan,Electronic City,1 BHK,Prarkun,630,1.0,1.0,47.0
2202,Super built-up  Area,Ready To Move,Seegehalli,3 BHK,Paoliy ,1525,3.0,2.0,65.0
2203,Super built-up  Area,Ready To Move,Kaggadasapura,2 BHK,Mebhaee,1060,2.0,2.0,48.0
2204,Super built-up  Area,Ready To Move,Lingadheeranahalli,3 BHK,Soiewre,1687,3.0,3.0,127.0
2205,Super built-up  Area,Ready To Move,Thanisandra,3 BHK,Soitya ,1847,3.0,2.0,123.0
2206,Super built-up  Area,Ready To Move,Begur Road,3 BHK,Dhalsh ,1410,2.0,3.0,53.0
2207,Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,SrncyRe,1075,2.0,1.0,42.99
2211,Built-up  Area,Ready To Move,Gaundanapalya,2 BHK,Sioma A,1010,2.0,2.0,46.0
2212,Super built-up  Area,18-Jul,Haralur Road,3 BHK,SNnia E,1875,3.0,3.0,110.0
2214,Super built-up  Area,20-Dec,Kanakpura Road,2 BHK,GolusLi,983,2.0,1.0,50.6
2216,Super built-up  Area,Ready To Move,Laxmi Sagar Layout,2 BHK,DubowRa,1140,2.0,1.0,76.0
2217,Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,Adeatlm,1215,2.0,2.0,110.0
2219,Super built-up  Area,Ready To Move,Bellandur,3 BHK,SoderLa,2039,3.0,2.0,168.0
2226,Super built-up  Area,Ready To Move,Kaggadasapura,3 BHK,Foity S,1350,3.0,1.0,55.5
2228,Carpet  Area,Ready To Move,KR Puram,3 BHK,Jahidva,1005.03 - 1252.49,3.0,0.0,47.405
2229,Super built-up  Area,Ready To Move,Electronic City,2 BHK,PrwarSa,921,2.0,1.0,34.0
2230,Super built-up  Area,Ready To Move,Kundalahalli,2 BHK,Rasom B,1010,2.0,1.0,49.27
2231,Super built-up  Area,18-Jun,KR Puram,2 BHK,MCnexva,1015,2.0,1.0,43.0
2233,Built-up  Area,Ready To Move,Lakshminarayana Pura,2 BHK,RothaVa,1179,2.0,1.0,75.0
2235,Super built-up  Area,Ready To Move,Kammasandra,2 BHK,Prarkhi,870,2.0,1.0,24.0
2238,Super built-up  Area,Ready To Move,Malleshwaram,3 BHK,Sariaat,2475,4.0,3.0,320.0
2241,Super built-up  Area,Ready To Move,2nd Phase JP Nagar,2 BHK,Gintsar,1000,1.0,1.0,55.0
2244,Plot  Area,18-May,Kammasandra,2 Bedroom,Daden G,1200,2.0,1.0,66.0
2246,Super built-up  Area,Ready To Move,Hennur,2 BHK,Shateor,1255,2.0,1.0,57.5
2247,Super built-up  Area,Ready To Move,Hosur Road,2 BHK,Collsrn,1085,2.0,2.0,30.38
2250,Super built-up  Area,21-May,Kogilu,3 BHK,Sourtal,1934,3.0,2.0,150.0
2251,Super built-up  Area,Ready To Move,Harlur,2 BHK,Sancyi ,1200,2.0,1.0,49.5
2252,Super built-up  Area,Ready To Move,Uttarahalli,6 BHK,PoetyHo,3600,6.0,2.0,120.0
2253,Super built-up  Area,19-Dec,Old Madras Road,2 BHK,SheldGr,935,2.0,1.0,45.0
2254,Built-up  Area,Ready To Move,Bommasandra,2 BHK,Vaodspe,877,2.0,2.0,30.0
2255,Super built-up  Area,Ready To Move,Ashwathnagar,2 BHK,GMentAp,936,2.0,2.0,42.0
2258,Super built-up  Area,19-Mar,Hennur Road,2 BHK,Puachal,1232,2.0,0.0,69.61
2259,Super built-up  Area,Ready To Move,Ambedkar Nagar,3 BHK,SoechHa,2225,4.0,2.0,169.0
2261,Super built-up  Area,Ready To Move,Dasarahalli,3 BHK,Sooneoo,1901,3.0,2.0,119.0
2262,Super built-up  Area,18-Dec,Sarjapur  Road,3 BHK,Klark L,1819,3.0,2.0,100.0
2265,Super built-up  Area,Ready To Move,Old Madras Road,4 BHK,Brica E,3630 - 3800,6.0,0.0,200.5
2266,Built-up  Area,Ready To Move,9th Phase JP Nagar,4 BHK,ImiteEl,5000,4.0,3.0,290.0
2273,Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Ceiti I,1845,4.0,1.0,110.0
2275,Super built-up  Area,Ready To Move,HSR Layout,2 BHK,NRosete,1140,2.0,2.0,46.0
2277,Super built-up  Area,18-Aug,Talaghattapura,3 BHK,Sodgere,2254,3.0,2.0,170.0
2278,Super built-up  Area,Ready To Move,Frazer Town,3 BHK,Asareur,1750,3.0,2.0,150.0
2279,Built-up  Area,Ready To Move,Jalahalli West,2 BHK,Caiseha,1020,2.0,1.0,37.0
2281,Super built-up  Area,Ready To Move,Lingadheeranahalli,3 BHK,Soiewre,1893,3.0,2.0,140.0
2282,Super built-up  Area,Ready To Move,Vasanth nagar,3 BHK,Pricae ,3025,3.0,0.0,500.0
2285,Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,Prityel,1075,2.0,1.0,90.0
2287,Super built-up  Area,Ready To Move,Kasavanhalli,2 BHK,HMonymp,1200,2.0,1.0,78.0
2288,Super built-up  Area,19-Oct,Sarjapur  Road,2 BHK,Brareio,1233,2.0,2.0,77.65
2289,Super built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,SNity S,1255,2.0,2.0,65.26
2296,Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Shthi S,1525,2.0,2.0,60.0
2298,Super built-up  Area,Ready To Move,Tumkur Road,3 BHK,Sahtsva,1240,2.0,1.0,84.0
2299,Super built-up  Area,Ready To Move,Subramanyapura,3 BHK,Mayne A,1245,2.0,1.0,68.0
2301,Super built-up  Area,18-Mar,Hosa Road,2 BHK,Akvam P,1004 - 1204,2.0,0.0,36.43
2302,Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,Prityel,1075,2.0,1.0,35.99
2304,Super built-up  Area,Ready To Move,Whitefield,2 BHK,SrireSo,1155,2.0,1.0,60.0
2305,Super built-up  Area,Ready To Move,Doctors Layout,2 BHK,Mavelr ,1520,2.0,3.0,62.0
2306,Super built-up  Area,Ready To Move,Thigalarapalya,4 BHK,Prtanha,3122,6.0,2.0,245.0
2307,Super built-up  Area,Ready To Move,Harlur,2 BHK,Prncyrn,1290,2.0,1.0,85.0
2313,Super built-up  Area,Ready To Move,Malleshwaram,2 BHK,SrntsRV,900,2.0,1.0,95.0
2315,Super built-up  Area,Ready To Move,Hennur Road,2 BHK,Koagati,987,2.0,1.0,49.0
2316,Super built-up  Area,Ready To Move,Old Madras Road,3 BHK,Brglede,1720,3.0,2.0,100.0
2317,Super built-up  Area,Ready To Move,Hebbal,2 BHK,Ratlet ,1040,2.0,1.0,50.0
2319,Built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,Neess P,1030,2.0,1.0,50.0
2320,Super built-up  Area,Ready To Move,Neeladri Nagar,3 BHK,GeereEc,2556,3.0,2.0,133.0
2321,Super built-up  Area,Ready To Move,Basavangudi,3 BHK,KuisePa,1850,3.0,1.0,168.0
2324,Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,BriumMi,1270,2.0,1.0,83.0
2327,Super built-up  Area,Ready To Move,Domlur,2 BHK,IBictnd,1050,2.0,2.0,85.0
2329,Super built-up  Area,18-Apr,Vishwapriya Nagar,2 BHK,Aaniaa ,946,2.0,1.0,38.0
2330,Built-up  Area,Ready To Move,CV Raman Nagar,3 BHK,VeSkyva,1726,3.0,3.0,145.0
2331,Super built-up  Area,Ready To Move,Sarakki Nagar,3 BHK,Sowerew,2121,4.0,3.0,253.0
2332,Super built-up  Area,Ready To Move,Vittasandra,2 BHK,Prlla C,1404,2.0,1.0,75.0
2334,Super built-up  Area,Ready To Move,Kengeri,2 BHK,Vaens G,1025,2.0,2.0,57.0
2341,Built-up  Area,Ready To Move,Kodbisanhalli,4 Bedroom,Diaste ,4800,5.0,3.0,629.0
2342,Super built-up  Area,Ready To Move,R.T. Nagar,2 BHK,Dhows M,1040,2.0,2.0,46.0
2343,Super built-up  Area,18-May,Banashankari,2 BHK,Bregae ,1310,2.0,2.0,80.0
2344,Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,Baveles,1788,3.0,2.0,98.34
2345,Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,GrrvaGr,1144,2.0,2.0,38.55
2351,Super built-up  Area,19-Mar,Kasavanhalli,3 BHK,Oca 2 V,1646,3.0,2.0,79.5
2352,Super built-up  Area,Ready To Move,Sarjapur  Road,4 BHK,Klark L,4395,4.0,2.0,242.0
2354,Super built-up  Area,18-Dec,Iblur Village,3 BHK,DNionfl,1995,3.0,2.0,135.0
2356,Super built-up  Area,18-Dec,Hosakerehalli,2 BHK,Maunt M,1085,2.0,1.0,47.74
2357,Super built-up  Area,Ready To Move,Budigere,2 BHK,PrityTr,1139,2.0,2.0,56.8
2359,Super built-up  Area,Ready To Move,Pattandur Agrahara,3 BHK,MaidoPl,1767,3.0,2.0,98.0
2361,Super built-up  Area,Ready To Move,Bellandur,3 BHK,Maonsrn,1692,3.0,2.0,88.0
2363,Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,Aklia R,1345,2.0,1.0,57.0
2364,Super built-up  Area,Ready To Move,Basapura,2 BHK,Krtiqa ,1100,2.0,1.0,60.0
2365,Super built-up  Area,Ready To Move,Gollarapalya Hosahalli,3 BHK,Mauner ,1408,3.0,3.0,62.0
2369,Super built-up  Area,Ready To Move,Thigalarapalya,3 BHK,Prtanha,2072,4.0,2.0,150.0
2370,Super built-up  Area,Ready To Move,Malleshwaram,2 BHK,Maens G,1420,2.0,1.0,158.0
2377,Super built-up  Area,18-May,Hosa Road,2 BHK,SStusan,1063,2.0,1.0,31.9
2383,Super built-up  Area,Ready To Move,Thanisandra,3 BHK,MenueNo,1430,2.0,2.0,56.0
2386,Super built-up  Area,Ready To Move,Sector 7 HSR Layout,3 BHK,Saitya ,1760,3.0,2.0,145.0
2387,Super built-up  Area,Ready To Move,Whitefield,3 BHK,Suent V,2010,3.0,3.0,92.0
2388,Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,Wiowsri,1480,2.0,2.0,64.23
2392,Super built-up  Area,Ready To Move,Frazer Town,4 BHK,Meentan,4850,6.0,2.0,385.0
2393,Super built-up  Area,Ready To Move,Singasandra,2 BHK,GRe 2iv,1100,2.0,1.0,52.0
2394,Super built-up  Area,Ready To Move,Harlur,3 BHK,SosicCl,1752.12,3.0,2.0,116.0
2396,Super built-up  Area,20-Jan,Balagere,1 BHK,Soresea,645 - 936,1.0,0.0,41.9
2397,Built-up  Area,Ready To Move,Hennur Gardens,3 BHK,PlhtsHe,1942,3.0,2.0,102.0
2398,Built-up  Area,Ready To Move,Ashirvad Colony,2 BHK,Swhtsna,1000,2.0,2.0,53.0
2399,Super built-up  Area,Ready To Move,Yeshwanthpur,1 BHK,IBityin,668,1.0,1.0,36.85
2403,Super built-up  Area,Ready To Move,Thanisandra,3 BHK,R ra  R,1800,3.0,3.0,90.0
2405,Super built-up  Area,Ready To Move,Yelahanka,2 BHK,Pyikad ,1036,2.0,3.0,39.35
2406,Super built-up  Area,Ready To Move,Marathahalli,3 BHK,PueraRi,1583,3.0,3.0,105.0
2408,Super built-up  Area,Ready To Move,Padmanabhanagar,2 BHK,Bhise P,1100,2.0,2.0,65.0
2410,Super built-up  Area,Ready To Move,Vittasandra,2 BHK,Prlla C,1246,2.0,1.0,65.0
2411,Super built-up  Area,Ready To Move,Dodda Nekkundi,2 BHK,SaisePa,850,2.0,3.0,28.0
2412,Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,GrrvaGr,1196,2.0,2.0,51.51
2413,Super built-up  Area,Ready To Move,Thanisandra,3 BHK,Soitya ,1697,3.0,2.0,114.0
2417,Plot  Area,Ready To Move,Sarjapur  Road,4 Bedroom,Co IIla,3750,6.0,3.0,290.0
2419,Super built-up  Area,Ready To Move,Howthinarayanappa Garden,2 BHK,Vidil D,1022,2.0,2.0,52.0
2420,Super built-up  Area,Ready To Move,Kammasandra,2 BHK,PaigeMa,1018,2.0,0.0,23.45
2422,Super built-up  Area,Ready To Move,Bharathi Nagar,2 BHK,FoapeWa,1322,2.0,2.0,68.0
2423,Plot  Area,Ready To Move,Marsur,4 Bedroom,AreraRe,1800,4.0,2.0,145.0
2426,Built-up  Area,Ready To Move,Cambridge Layout,3 BHK,Sancybr,2400,3.0,1.0,260.0
2427,Super built-up  Area,Ready To Move,Whitefield,3 BHK,Lallere,1635,2.0,2.0,85.0
2428,Super built-up  Area,Ready To Move,Rajaji Nagar,4 BHK,PhestOn,3526,4.0,1.0,558.0
2430,Built-up  Area,Ready To Move,Ramakrishnappa Layout,3 BHK,PeBayle,2770,3.0,1.0,460.0
2431,Super built-up  Area,Ready To Move,EPIP Zone,4 BHK,BrontLa,2710 - 3360,5.0,0.0,200.0
2432,Super built-up  Area,Ready To Move,Maragondanahalli,3 BHK,ArnzaFi,1533,3.0,2.0,85.0
2433,Super built-up  Area,Ready To Move,Akshaya Nagar,3 BHK,Hiows C,1720,3.0,1.0,134.0
2435,Super built-up  Area,18-Aug,Yeshwanthpur,2 BHK,Aroomba,1185,2.0,2.0,75.84
2437,Built-up  Area,Ready To Move,Attibele,1 BHK,Jae 1hu,395,1.0,1.0,10.25
2438,Super built-up  Area,Ready To Move,Electronic City Phase II,2 BHK,Brods W,1031,2.0,1.0,56.35
2440,Super built-up  Area,Ready To Move,Thanisandra,4 BHK,G conTh,2650,4.0,2.0,240.0
2442,Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,SLnssPr,1330,2.0,2.0,46.55
2443,Super built-up  Area,Ready To Move,Hennur,2 BHK,Exitym ,1259,2.0,2.0,57.0
2444,Built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,GRvanun,1570,3.0,2.0,88.0
2445,Built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,Prityel,1075,2.0,1.0,36.0
2446,Super built-up  Area,18-May,Whitefield,2 BHK,Prtates,1216,2.0,1.0,79.0
2447,Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Srisei ,1428,2.0,2.0,66.0
2450,Super built-up  Area,Ready To Move,Doddakannelli,3 BHK,SastyDy,1475,3.0,2.0,70.0
2453,Super built-up  Area,19-Mar,Hennur Road,3 BHK,Puachal,1804,3.0,2.0,102.0
2456,Super built-up  Area,Ready To Move,Begur Road,2 BHK,Dhalsh ,1260,2.0,2.0,46.62
2458,Built-up  Area,Ready To Move,Hennur Road,3 BHK,Asadacy,2160,3.0,2.0,160.0
2462,Super built-up  Area,Ready To Move,Yelahanka,2 BHK,Chara N,1300,2.0,3.0,65.0
2463,Super built-up  Area,Ready To Move,Cox Town,1 BHK,EGdiaAr,605,1.0,1.0,29.0
2465,Super built-up  Area,18-Apr,Bhoganhalli,2 BHK,Rosha I,1444,2.0,1.0,75.97
2470,Super built-up  Area,Ready To Move,Bisuvanahalli,2 BHK,Prityel,845,2.0,1.0,29.0
2471,Super built-up  Area,21-Dec,Kanakpura Road,2 BHK,PrarePa,700,2.0,1.0,35.0
2473,Super built-up  Area,Ready To Move,Kaggadasapura,3 BHK,Saconp ,1625,3.0,2.0,55.0
2475,Super built-up  Area,Ready To Move,Pulkeshi Nagar,2 BHK,ElaleSp,1452.55,2.0,3.0,110.0
2478,Super built-up  Area,Ready To Move,Budigere,2 BHK,PrityTr,1139,2.0,2.0,56.85
2480,Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,PuandHi,1660,3.0,3.0,75.0
2481,Super built-up  Area,Ready To Move,Jayanagar,2 BHK,Rakulai,1170,2.0,3.0,105.0
2482,Super built-up  Area,Ready To Move,Somasundara Palya,2 BHK,Srhts P,1448,2.0,2.0,68.0
2483,Super built-up  Area,18-May,Kadugodi,3 BHK,Alestrb,1762,3.0,3.0,110.0
2484,Super built-up  Area,Ready To Move,Kaggadasapura,2 BHK,SLireap,1105,2.0,1.0,38.65
2485,Super built-up  Area,18-Mar,Yelahanka,3 BHK,Miitat ,1825,3.0,1.0,105.0
2486,Super built-up  Area,19-Dec, Bhoganhalli,1 RK,Rosha I,296,1.0,0.0,22.89
2488,Super built-up  Area,Ready To Move,Thanisandra,2 BHK,MenueNo,1185,2.0,2.0,43.0
2489,Built-up  Area,18-Aug,Electronic City Phase II,3 BHK,Sryalan,1320,2.0,1.0,38.12
2490,Super built-up  Area,Ready To Move,Hulimavu,2 BHK,Suelsa ,1058,2.0,1.0,48.0
2493,Super built-up  Area,18-May,Old Madras Road,2 BHK,Brglede,1200,2.0,1.0,72.0
2497,Super built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,SNity S,1550,3.0,2.0,78.0
2501,Super built-up  Area,19-Dec,7th Phase JP Nagar,4 BHK,Puarero,2503,4.0,0.0,188.0
2502,Super built-up  Area,Ready To Move,Marathahalli,4 BHK,Prionad,2524,5.0,2.0,190.0
2507,Super built-up  Area,Ready To Move,Jalahalli,2 BHK,Vaniai ,1045,2.0,2.0,76.77
2508,Super built-up  Area,Ready To Move,Kanakapura,3 BHK,SPavenc,1290,2.0,3.0,45.15
2509,Super built-up  Area,Ready To Move,Hoodi,2 BHK,SMaxyay,1400,2.0,1.0,78.0
2513,Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Mades G,1680,3.0,1.0,112.0
2522,Super built-up  Area,19-Oct,Begur Road,3 BHK,Pruthg ,1634,3.0,1.0,83.33
2523,Super built-up  Area,Ready To Move,Prithvi Layout,2 BHK,Prlmsge,1352,2.0,2.0,85.0
2524,Super built-up  Area,17-Sep,Balagere,2 BHK,HiqueMa,1145,2.0,2.0,65.0
2526,Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,BriumMi,2200,3.0,2.0,190.0
2529,Super built-up  Area,18-Aug,Raja Rajeshwari Nagar,2 BHK,Prllsan,1168,2.0,1.0,61.0
2530,Super built-up  Area,18-Jul,Electronic City Phase II,2 BHK,SNbay G,1205,2.0,1.0,75.0
2531,Super built-up  Area,Ready To Move,Yeshwanthpur,2 BHK,Vatra N,1195,2.0,2.0,100.0
2534,Super built-up  Area,Ready To Move,Pai Layout,3 BHK,Saent A,1550,2.0,2.0,90.0
2537,Super built-up  Area,Ready To Move,Yelahanka,3 BHK,Niareum,1603,3.0,2.0,96.0
2541,Built-up  Area,Ready To Move,Malleshpalya,3 BHK,MancyRe,1405,2.0,2.0,77.0
2542,Super built-up  Area,Ready To Move,KR Puram,2 BHK,MCvarar,1142,2.0,1.0,51.0
2544,Super built-up  Area,Ready To Move,Whitefield,3 BHK,Brony H,1870,3.0,2.0,90.0
2545,Super built-up  Area,Ready To Move,Subramanyapura,2 BHK,Chllsev,1313,2.0,2.0,73.0
2546,Built-up  Area,Ready To Move,Hennur Gardens,3 BHK,PlhtsHe,1945,3.0,3.0,120.0
2547,Super built-up  Area,17-Jul,Thanisandra,3 BHK,Bhmesy ,1573,3.0,2.0,95.0
2548,Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,Mades G,1255,2.0,1.0,92.0
2551,Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Shthi S,1380,2.0,1.0,52.0
2558,Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,Sagnage,1279,2.0,2.0,48.0
2561,Super built-up  Area,19-Oct,Hebbal,3 BHK,SNontle,2526,2.0,2.0,250.0
2564,Super built-up  Area,18-Aug,Uttarahalli,3 BHK,DSera S,1845,2.0,1.0,68.27
2565,Super built-up  Area,Ready To Move,Motappa Layout,3 BHK,Puodse ,1360,2.0,1.0,59.27
2567,Super built-up  Area,Ready To Move,Whitefield,2 BHK,Sancya ,1260,2.0,2.0,49.5
2569,Built-up  Area,Ready To Move,Dasanapura,2 BHK,Tavenew,965,2.0,1.0,42.5
2570,Built-up  Area,Ready To Move,Hoodi,3 BHK,Adion M,1350,2.0,3.0,48.0
2571,Super built-up  Area,18-Jul,Bhoganhalli,2 BHK,Rosha I,1447,2.0,1.0,75.97
2574,Super built-up  Area,Ready To Move,Gottigere,2 BHK,M denGa,1153,2.0,1.0,48.5
2575,Super built-up  Area,18-Dec,Whitefield,4 BHK,Prtates,2830 - 2882,5.0,0.0,145.5
2576,Super built-up  Area,Ready To Move,Malleshpalya,2 BHK,A idse ,1065,2.0,2.0,50.0
2577,Built-up  Area,Ready To Move,Tala Cauvery Layout,2 BHK,Skarkev,1030,2.0,3.0,61.0
2581,Super built-up  Area,Ready To Move,Begur Road,3 BHK,Dhalsh ,1410,2.0,3.0,44.42
2582,Super built-up  Area,20-Dec,Varthur,2 BHK,Myple M,1055,2.0,2.0,45.35
2583,Super built-up  Area,18-May,Yelahanka,2 BHK,Prensya,1304,2.0,1.0,79.0
2585,Built-up  Area,Ready To Move,Kammasandra,2 BHK,Puitea ,990,2.0,1.0,31.5
2587,Super built-up  Area,21-Jun,Tumkur Road,1 BHK,Coowsri,596 - 804,1.0,0.0,30.09
2589,Super built-up  Area,Ready To Move,Haralur Road,2 BHK,NDionas,1300,2.0,2.0,73.0
2590,Super built-up  Area,21-Jan,Tumkur Road,2 BHK,Sapus S,1239,2.0,1.0,82.0
2591,Super built-up  Area,19-Dec,Sarjapur  Road,3 BHK,Daivon ,1403,3.0,3.0,51.63
2592,Super built-up  Area,Ready To Move,Hosa Road,2 BHK,Sosisic,1365,2.0,1.0,92.0
2593,Super built-up  Area,Ready To Move,8th block Koramangala,2 BHK,Sid 2ss,1165,2.0,1.0,135.0
2595,Super built-up  Area,Ready To Move,Green Glen Layout,3 BHK,Solia D,1776.42,3.0,2.0,105.0
2598,Super built-up  Area,Ready To Move,Bidadi,2 BHK,Etuney ,1107,2.0,2.0,33.0
2600,Super built-up  Area,Ready To Move,Nallurhalli,3 BHK,DNtonri,1520,3.0,3.0,80.0
2601,Super built-up  Area,19-Jul,Kannamangala,3 BHK,Sonue A,1536,3.0,1.0,89.0
2603,Super built-up  Area,Ready To Move,Belathur,2 BHK,Viiniai,1050,2.0,1.0,38.0
2604,Super built-up  Area,22-Jun,Hoodi,3 BHK,GoAirej,1850,3.0,2.0,146.0
2605,Super built-up  Area,Ready To Move,Billekahalli,2 BHK,Diisein,1112,2.0,2.0,62.0
2609,Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,JDensar,1250,3.0,2.0,65.0
2610,Super built-up  Area,Ready To Move,Kalena Agrahara,2 BHK,CSvelMa,1187,2.0,3.0,52.0
2612,Super built-up  Area,18-May,Electronic City Phase II,3 BHK,SNbay G,1395,2.0,1.0,62.78
2613,Super built-up  Area,18-Jul,Arekere,3 BHK,RRnumn ,2072,3.0,2.0,108.0
2614,Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,JRrnauv,1450,3.0,3.0,60.91
2615,Super built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,SNity S,1550,3.0,2.0,82.0
2617,Super built-up  Area,19-Dec,Hebbal,4 BHK,SNontle,3067,4.0,3.0,230.0
2618,Super built-up  Area,Ready To Move,Amruthnagar,2 BHK,Saeur G,1210,2.0,2.0,72.0
2619,Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,Prityel,1075,2.0,1.0,47.0
2620,Super built-up  Area,Ready To Move,Sathya Sai Layout,6 BHK,Prowshi,11338,9.0,1.0,1000.0
2622,Built-up  Area,Ready To Move,Kaggadasapura,3 BHK,Prmesad,1470,2.0,2.0,75.0
2624,Built-up  Area,Ready To Move,Hosur Road,3 BHK,Saageat,1590,2.0,2.0,125.0
2625,Super built-up  Area,Ready To Move,Kanakpura Road,2 BHK,Shdhia ,1050,2.0,1.0,36.75
2626,Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,GrrvaGr,1306,2.0,1.0,55.91
2627,Built-up  Area,Ready To Move,Malleshwaram,3 BHK,Maens G,2000,3.0,2.0,250.0
2630,Plot  Area,Ready To Move,Sarjapur,4 Bedroom,Puodsm ,3190,3.0,1.0,160.0
2631,Super built-up  Area,18-May,Ramagondanahalli,2 BHK,ViistLa,1215,2.0,1.0,51.26
2632,Built-up  Area,Ready To Move,Budigere,3 BHK,PrityTr,1920,2.0,1.0,88.0
2636,Super built-up  Area,21-Jul,Hoodi,2 BHK,GoAirej,1196,2.0,0.0,71.74
2637,Super built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,Siaraa ,1550,2.0,2.0,75.0
2638,Super built-up  Area,Ready To Move,Thigalarapalya,2 BHK,Prtanha,1418,2.0,2.0,101.0
